nk_ota_localizer_id,fk_contact,date_purchase,time_purchase,place_origin_departure,place_destination_departure,place_origin_return,place_destination_return,fk_departure_ota_bus_company,fk_return_ota_bus_company,gmv_success,total_tickets_quantity_success
bc02d5245bec63b30ff1102fa273fc03f58bc9cc3f674ef1fee010c95dcbbab9,cliente_1,2018-12-26,15:33:35,rodoviaria_1,rodoviaria_43,0,0,empresa_1,empresa_44,89.09,1
5432f12612dd5d749b3be880e779989cf63b5efa4bcc4e76c53e661b07ed7fb8,cliente_2,2018-12-05,15:07:57,rodoviaria_2,rodoviaria_44,0,0,empresa_2,empresa_44,155.97,1
fb3caed9b2f1b6016d45ccddb19095476e61a2c85faa8ec869b8b02d6c729858,cliente_3,2018-12-21,18:41:54,rodoviaria_3,rodoviaria_45,0,0,empresa_3,empresa_44,121.99,1
4dc44a6dd592b702feccb493d192210c86965aee68452989fa44926bd8e0a421,cliente_4,2018-12-06,14:01:38,rodoviaria_4,rodoviaria_46,0,0,empresa_4,empresa_44,55.22,1
aa34ed7fd0a6b405df2df1bf9f8d68e6df9b9a868a6181f2a990463e6eec11d3,cliente_5,2021-02-23,20:08:25,rodoviaria_3,rodoviaria_47,0,0,empresa_5,empresa_44,45.31,1
948356b25b90c0c87c147cead27483c481edda1dacc4c8c7d8d1ddde6b61738a,cliente_6,2021-02-11,22:25:15,rodoviaria_5,rodoviaria_48,0,0,empresa_6,empresa_44,154.2,1
2ee9d0978acb5e113d0b3f846ab3f88c5a426321da8f8752145e5a725d73c1c6,cliente_7,2021-02-19,19:11:40,rodoviaria_6,rodoviaria_49,0,0,empresa_7,empresa_44,188.99,1
92c004fb7013d0b6cc363bf860b63ebcb4ab8827f4c2b20212fb6792a813aa9e,cliente_8,2020-12-03,09:16:29,rodoviaria_3,rodoviaria_50,0,0,empresa_8,empresa_44,232.96,1
bca8674d4af2f864efd8207b49612927ffffa9a74eb5fc5920ccec274e8247b2,cliente_9,2020-12-04,08:28:26,rodoviaria_7,rodoviaria_4,0,0,empresa_9,empresa_44,23.3,1
929cd361c225ec5d3510e14e8582fdcc61a24383cdb7a70c708ff3d643e60e4a,cliente_10,2021-07-02,11:41:19,rodoviaria_8,rodoviaria_51,0,0,empresa_10,empresa_44,61.55,1
